channel_title,title,views,likes,dislikes
Ed Sheeran,Ed Sheeran - Perfect Duet (with Beyoncé) [Official Audio],14197878,768286,13156
ChildishGambinoVEVO,Childish Gambino - This Is America (Official Video),14171087,801873,25829
BeckyGVEVO,"Becky G, Natti Natasha - Sin Pijama (Official Video)",14126383,521498,44154
TaylorSwiftVEVO,"Taylor Swift - End Game ft. Ed Sheeran, Future",14089954,1065797,47841
MigosVEVO,Migos - Walk It Talk It ft. Drake,14040968,627664,19975
NIXBLACK,Zlatan is Back! God! Ibrahimovic! LA Galaxy 4-3 Los Angeles FC All goals Highlight(31/03/2018) 1080P,14019308,157933,6122
ibighit,BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV,13945717,2055178,23889
Salman Khan Films,Race 3 | Official Trailer | Salman Khan | Remo Dsouza | Releasing on 15th June 2018 | #Race3ThisEID,13859243,398228,79759
Paramount Pictures,Bumblebee (2018) - Official Teaser Trailer - Paramount Pictures,13816180,179824,12708
Wunderbar Studios,Kaala (Tamil) - Official Teaser | Rajinikanth | Pa Ranjith | Dhanush | Santhosh Narayanan,13811768,408531,52292
Dude Perfect,World's Longest LEGO Walk | Dude Perfect,13740772,421047,17977
How Ridiculous,BOWLING BALL Vs. TRAMPOLINE from 45m!,13697378,312974,29858
ZaynVEVO,ZAYN - Let Me (Official Video),13672159,868554,18387
jypentertainment,GOT7 Look M/V,13537642,806486,7138
T-Series,Baaghi 2: Ek Do Teen Song | Jacqueline Fernandez |Tiger Shroff | Disha P| Ahmed K | Sajid Nadiadwala,13517404,218256,38693
TheWeekndVEVO,The Weeknd - Call Out My Name (Official Video),12991753,608488,10416
Dude Perfect,Football vs Soccer Trick Shots | Dude Perfect,12948825,552369,7378
Marvel Entertainment,Marvel Studios’ Avengers: Infinity War - Big Game Spot,12908071,290083,5326
Bruno Mars,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],12882641,925685,24981
Vevo,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),12729423,335772,14040
BalajiMotionPictures,"Veere Di Wedding Trailer | Kareena Kapoor Khan, Sonam Kapoor, Swara Bhasker, Shikha Talsania| June 1",12672730,115246,14492
Saad Lamjarred | سعد لمجرد,Saad Lamjarred - Ghazali (EXCLUSIVE Music Video) | 2018 | سعد لمجرد - غزالي ( فيديو كليب حصرياً),12615779,476454,66205
shakiraVEVO,Shakira - Trap (Official Video) ft. Maluma,12528777,486769,84161
Dude Perfect,Real Life Trick Shots 2 | Dude Perfect,12525525,633715,6036
Marvel Entertainment,Marvel Studios' Ant-Man and The Wasp - Official Trailer,12498976,373877,6350
Paramount Pictures,Mission: Impossible - Fallout (2018) - Official Trailer - Paramount Pictures,12440659,146456,4273
justintimberlakeVEVO,Justin Timberlake - Filthy (Official Video),12405278,225073,49516
DemiLovatoVEVO,Demi Lovato - Tell Me You Love Me,12310289,905719,15947
Dude Perfect,Boomerang Trick Shots | Dude Perfect,12213413,620708,8807
CelineDionVEVO,Céline Dion - Ashes (from the Deadpool 2 Motion Picture Soundtrack),12209261,309765,8133
Daddy Yankee,Dura - Daddy Yankee (Video Oficial),12159067,316948,9120
HAITHAM XD,رقصة الفضائي الاخضر وصلت للقبائل المنعزلة عن العالم 😂🌎🌌 Dame Tu Cosita,12118553,50708,10266
KatyPerryVEVO,Katy Perry - Hey Hey Hey (Official),12023527,519162,101458
EminemVEVO,Eminem - River ft. Ed Sheeran,11939132,780460,15433
Dude Perfect,World's Longest LEGO Walk | Dude Perfect,11887211,391496,15821
Universal Pictures,Jurassic World: Fallen Kingdom - Official Trailer #2 [HD],11883172,200007,5377
SelenaGomezVEVO,Selena Gomez - Back To You,11880974,854238,25293
Clash Royale,Clash Royale: Meet the Rascals! (New Card!),11880523,248447,21200
Ed Sheeran,Ed Sheeran - Happier (Official Video),11618399,799275,16164
jbalvinVEVO,J. Balvin - Ambiente,11608664,366225,11124
NFL,Justin Timberlake’s FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,11592172,154006,50013
NIXBLACK,Zlatan is Back! God! Ibrahimovic! LA Galaxy 4-3 Los Angeles FC All goals Highlight(31/03/2018) 1080P,11559797,137860,5140
GEazyMusicVEVO,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",11542143,394643,19028
NickyJamTV,Live It Up (Official Video) - Nicky Jam feat. Will Smith & Era Istrefi (2018 FIFA World Cup Russia),11501355,400867,28526
Lil pump,Lil Pump - ESSKEETIT (Official Music Video),11500696,924173,48746
Paramount Pictures,Mission: Impossible - Fallout (2018) - Official Trailer - Paramount Pictures,11439616,190134,3433
EnriqueIglesiasVEVO,Enrique Iglesias - EL BAÑO ft. Bad Bunny,11415854,377034,40262
Dude Perfect,Fortnite with Ninja | Dude Perfect,11386222,398820,17930
NickiMinajAtVEVO,Nicki Minaj - Chun-Li,11310513,512895,47998
MigosVEVO,"Migos, Nicki Minaj, Cardi B - MotorSport",11300167,399205,20223
PostMaloneVEVO,Post Malone - rockstar ft. 21 Savage,11202281,686143,17999
ZaynVEVO,ZAYN - Let Me (Official Video),11188755,799895,16434
MigosVEVO,Migos - Walk It Talk It ft. Drake,11165589,549920,16543
T-Series,Official Trailer: Hate Story IV | Urvashi Rautela | Vivan Bhathena | Karan Wahi | IhanaVISHAL PANDYA,11164916,133959,13784
NFL,Justin Timberlake’s FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,11154250,150451,49035
Coachella,Coachella 2018 LIVE Channel 1,11137071,0,0
netd müzik,Aleyna Tilki YALNIZ ÇİÇEK ft. Emrah Karaduman,11099550,248571,90024
Wunderbar Studios,Kaala (Tamil) - Official Teaser | Rajinikanth | Pa Ranjith | Dhanush | Santhosh Narayanan,11058730,360659,46013
